Year,Temperature
1895,15.2
1896,14.8
1897,14.9
1898,15.4
1899,15.3
1900,15.3
1901,14.7
1902,15.0
1903,15.6
1904,14.9
1905,15.3
1906,15.4
1907,14.8
1908,15.1
1909,15.5
1910,15.2
1911,14.9
1912,15.3
1913,15.0
1914,14.8
1915,15.4
1916,14.9
1917,14.8
1918,15.1
1919,15.5
1920,15.2
1921,15.2
1922,14.7
1923,15.4
1924,15.3
1925,15.1
1926,15.5
1927,14.9
1928,15.3
1929,15.0
1930,15.4
1931,15.2
1932,15.5
1933,14.9
1934,15.1
1935,15.3
1936,15.4
1937,15.2
1938,15.0
1939,14.8
1940,15.5
1941,15.3
1942,15.0
1943,14.9
1944,15.4
1945,14.7
1946,15.2
1947,15.1
1948,14.9
1949,15.3
1950,15.4
1951,15.0
1952,14.9
1953,15.2
1954,15.1
1955,15.5
1956,15.0
1957,15.4
1958,14.9
1959,15.3
1960,14.8
1961,15.2
1962,15.0
1963,15.4
1964,15.3
1965,15.2
1966,14.9
1967,15.0
1968,14.7
1969,15.3
1970,15.1
1971,15.4
1972,14.8
1973,15.2
1974,15.1
1975,15.0
1976,15.4
1977,14.9
1978,15.5
1979,15.2
1980,15.1
1981,15.3
1982,14.8
1983,15.5
1984,15.2
1985,15.0
1986,15.1
1987,15.3
1988,14.9
1989,15.5
1990,15.2
1991,14.7
1992,15.4
1993,15.1
1994,15.0
1995,15.5
1996,15.2
1997,15.1
1998,15.4
1999,15.2
2000,15.3
2001,15.0
2002,15.1
2003,14.9
2004,15.5
2005,15.0
2006,15.4
2007,15.1
2008,15.3
2009,15.0
2010,15.2
2011,15.4
2012,15.1
2013,15.5
2014,15.0
2015,15.2
2016,15.1
2017,15.3
2018,15.4
